caseid,totalnewsbinary_post_All_ref,totalnewscount_post_All_ref,log_news_post_All_ref,Average_domain_NewsG_Score_post_All_ref,Count_Reliable_NewsG_Score_post_All_ref,Count_Unreliable_NewsG_Score_post_All_ref,Prop_Reliable_NewsG_Score_post_All_ref,Prop_Unreliable_NewsG_Score_post_All_ref
1151616827,1,4,1.3862943611198906,87.5,0.6020599913279624,0,0.75,0
1151616837,1,21,3.044522437723423,94.96428571428571,1.1760912590556813,0,0.6666666666666666,0
1151616843,1,56,4.02535169073515,68.4375,1.505149978319906,1.255272505103306,0.5535714285714286,0.30357142857142855
1151616861,1,45,3.8066624897703196,86.15,1.6020599913279623,0.3010299956639812,0.8666666666666667,0.022222222222222223
1151616873,1,58,4.060443010546419,87.3076923076923,1.6020599913279623,0,0.6724137931034483,0
1151616875,1,6,1.791759469228055,NaN,0,0,0,0
1151616895,1,3,1.0986122886681098,97.5,0.47712125471966244,0,0.6666666666666666,0
1151616919,1,26,3.258096538021482,80.70833333333333,1.1139433523068367,0,0.46153846153846156,0
1151616921,1,1,0,87.5,0.3010299956639812,0,1,0
1151616939,1,17,2.833213344056216,37.63333333333333,0.3010299956639812,1.1760912590556813,0.058823529411764705,0.8235294117647058
1151616967,1,1,0,87.5,0.3010299956639812,0,1,0
1151616973,1,2,0.6931471805599453,90,0.3010299956639812,0,0.5,0
1151616977,1,37,3.6109179126442243,95.9375,1.2304489213782739,0,0.43243243243243246,0
1151616983,1,10,2.302585092994046,89,0.7781512503836436,0,0.5,0
1151616987,1,37,3.6109179126442243,93.56060606060606,1.5314789170422551,0,0.8918918918918919,0
1151616993,1,3,1.0986122886681098,80.83333333333333,0.6020599913279624,0,1,0
1151616997,1,26,3.258096538021482,97.93478260869566,1.380211241711606,0,0.8846153846153846,0
1151617001,1,1,0,75,0.3010299956639812,0,1,0
1151617011,1,37,3.6109179126442243,97.16666666666667,1.2041199826559248,0,0.40540540540540543,0
1151617017,1,13,2.5649493574615367,92.25,1.0413926851582251,0,0.7692307692307693,0
1151617021,1,7,1.9459101490553132,93.33333333333333,0.8450980400142568,0,0.8571428571428571,0
1151617023,1,3,1.0986122886681098,92.5,0.47712125471966244,0,0.6666666666666666,0
1151617025,1,8,2.0794415416798357,93.5,0.7781512503836436,0,0.625,0
1151617031,1,7,1.9459101490553132,89,0.7781512503836436,0,0.7142857142857143,0
1151617039,1,37,3.6109179126442243,81.36111111111111,1.568201724066995,0,0.972972972972973,0
1151617043,1,58,4.060443010546419,69.77083333333333,1.3010299956639813,0.7781512503836436,0.3275862068965517,0.08620689655172414
1151617049,1,80,4.382026634673881,93.40579710144928,1.845098040014257,0,0.8625,0
1151617053,1,399,5.988961416889864,88.39467005076142,2.59659709562646,0,0.9874686716791979,0
1151617079,1,12,2.4849066497880004,97.5,0.9542425094393249,0,0.6666666666666666,0
1151617095,1,8,2.0794415416798357,92.91666666666667,0.8450980400142568,0,0.75,0
1151617105,1,2,0.6931471805599453,NaN,0,0,0,0
1151617113,1,64,4.1588830833596715,92.07407407407408,1.7403626894942439,0,0.84375,0
1151617115,1,32,3.4657359027997265,84.45,1.4913616938342726,0,0.9375,0
1151617117,1,4,1.3862943611198906,96.875,0.6989700043360189,0,1,0
1151617119,1,6,1.791759469228055,97.91666666666667,0.8450980400142568,0,1,0
1151617127,1,4,1.3862943611198906,68.16666666666667,0.47712125471966244,0.3010299956639812,0.5,0.25
1151617139,1,7,1.9459101490553132,95,0.7781512503836436,0,0.7142857142857143,0
1151617151,1,23,3.1354942159291497,90,1.380211241711606,0,1,0
1151617163,1,3,1.0986122886681098,NaN,0,0,0,0
1151617177,1,1,0,75,0.3010299956639812,0,1,0
1151617185,1,44,3.784189633918261,85.44117647058823,1.255272505103306,0,0.38636363636363635,0
1151617187,1,2,0.6931471805599453,95,0.3010299956639812,0,0.5,0
1151617191,1,4,1.3862943611198906,91.66666666666667,0.6020599913279624,0,0.75,0
1151617209,1,80,4.382026634673881,86.64634146341463,1.6232492903979006,0,0.5125,0
1151617213,1,1,0,NaN,0,0,0,0
1151617221,1,3,1.0986122886681098,100,0.47712125471966244,0,0.6666666666666666,0
1151617229,1,25,3.2188758248682006,79.84782608695652,1.380211241711606,0,0.92,0
1151617251,1,1,0,NaN,0,0,0,0
1151617255,1,1,0,NaN,0,0,0,0
1151617257,1,8,2.0794415416798357,82,0.8450980400142568,0.3010299956639812,0.75,0.125
1151617269,1,54,3.9889840465642745,91.04651162790698,1.6334684555795864,0.3010299956639812,0.7777777777777778,0.018518518518518517
1151617307,1,4,1.3862943611198906,75,0.3010299956639812,0,0.25,0
1151617317,1,29,3.367295829986474,99.28571428571429,0.9030899869919435,0,0.2413793103448276,0
1151617319,1,40,3.6888794541139363,94.02173913043478,1.380211241711606,0,0.575,0
1151617323,1,6,1.791759469228055,84.3,0.6989700043360189,0.3010299956639812,0.6666666666666666,0.16666666666666666
1151617327,1,17,2.833213344056216,79.42857142857143,1.146128035678238,0.3010299956639812,0.7647058823529411,0.058823529411764705
1151617329,1,22,3.091042453358316,82.4,0.6989700043360189,0.3010299956639812,0.18181818181818182,0.045454545454545456
1151617339,1,6,1.791759469228055,92.5,0.8450980400142568,0,1,0
1151617345,1,196,5.278114659230517,94.375,1.8573324964312685,0.3010299956639812,0.3622448979591837,0.00510204081632653
1151617355,1,19,2.9444389791664403,92.10526315789474,1.3010299956639813,0,1,0
1151617361,1,14,2.6390573296152584,84.42307692307692,1.1139433523068367,0.3010299956639812,0.8571428571428571,0.07142857142857142
1151617363,1,170,5.135798437050262,85.25,1.3222192947339193,0,0.11764705882352941,0
1151617383,1,8,2.0794415416798357,90,0.9542425094393249,0,1,0
1151617401,1,19,2.9444389791664403,94.07894736842105,1.3010299956639813,0,1,0
1151617413,1,2,0.6931471805599453,NaN,0,0,0,0
1151617423,1,49,3.8918202981106265,85.33333333333333,1.3424226808222062,0.6020599913279624,0.42857142857142855,0.061224489795918366
1151617427,1,56,4.02535169073515,96.34615384615384,1.146128035678238,0,0.23214285714285715,0
1151617433,1,1,0,87.5,0.3010299956639812,0,1,0
1151617461,1,1,0,NaN,0,0,0,0
1151617465,1,2,0.6931471805599453,69.5,0.47712125471966244,0,1,0
1151617467,1,4,1.3862943611198906,85,0.47712125471966244,0,0.5,0
