caseid,totalnewsbinary_All_ref,totalnewscount_All_ref,log_news_All_ref,Average_domain_NewsG_Score_All_ref,Count_Reliable_NewsG_Score_All_ref,Count_Unreliable_NewsG_Score_All_ref,Prop_Reliable_NewsG_Score_All_ref,Prop_Unreliable_NewsG_Score_All_ref
1150928803,1,2,0.6931471805599453,87.5,0.3010299956639812,0,0.5,0
1150928807,1,153,5.030437921392435,81.25,1.7075701760979363,0.47712125471966244,0.32679738562091504,0.013071895424836602
1150928811,1,5,1.6094379124341003,NaN,0,0,0,0
1150928837,1,1,0,NaN,0,0,0,0
1150928839,1,8,2.0794415416798357,95,0.8450980400142568,0,0.75,0
1150928845,1,10,2.302585092994046,95.25,1.0413926851582251,0,1,0
1150928857,1,29,3.367295829986474,88.53125,1.2041199826559248,0.3010299956639812,0.5172413793103449,0.034482758620689655
1150928879,1,367,5.905361848054571,86.36029411764706,2.1367205671564067,0,0.37057220708446864,0
1150928883,1,101,4.61512051684126,93.71333333333334,1.8692317197309762,0.47712125471966244,0.7227722772277227,0.019801980198019802
1150928885,1,1,0,87.5,0.3010299956639812,0,1,0
1150928887,1,17,2.833213344056216,85.92307692307692,1.1139433523068367,0.3010299956639812,0.7058823529411765,0.058823529411764705
1150928895,1,13,2.5649493574615367,65.46153846153847,1.0791812460476249,0.47712125471966244,0.8461538461538461,0.15384615384615385
1150928913,1,121,4.795790545596741,90.1036036036036,2.0492180226701815,0,0.9173553719008265,0
1150928917,1,13,2.5649493574615367,90,1.0413926851582251,0,0.7692307692307693,0
1150928919,1,71,4.2626798770413155,78.93518518518519,1.6720978579357175,0.9542425094393249,0.647887323943662,0.11267605633802817
1150928921,1,2,0.6931471805599453,NaN,0,0,0,0
1150928923,1,5,1.6094379124341003,77.5,0.3010299956639812,0,0.2,0
1150928937,1,102,4.624972813284271,92.40555555555555,1.9590413923210936,0,0.8823529411764706,0
1150928949,1,95,4.553876891600541,79.38888888888889,1.6532125137753437,1.0413926851582251,0.4631578947368421,0.10526315789473684
1150928951,1,59,4.07753744390572,88.34375,1.5185139398778875,0,0.5423728813559322,0
1150928955,1,9,2.1972245773362196,90,1,0,1,0
1150928961,1,86,4.454347296253507,77.9625,1.9084850188786497,0,0.9302325581395349,0
1150928967,1,12,2.4849066497880004,89,1.0413926851582251,0,0.8333333333333334,0
1150928977,1,27,3.295836866004329,80.78947368421052,1.2787536009528289,0.3010299956639812,0.6666666666666666,0.037037037037037035
1150928981,1,21,3.044522437723423,82.5,1.255272505103306,0.6989700043360189,0.8095238095238095,0.19047619047619047
1150928985,1,1,0,87.5,0.3010299956639812,0,1,0
1150928989,1,121,4.795790545596741,81.375,1.5797835966168101,0.9030899869919435,0.30578512396694213,0.05785123966942149
1150929003,1,8,2.0794415416798357,77.85714285714286,0.8450980400142568,0.3010299956639812,0.75,0.125
1150929007,1,109,4.6913478822291435,80.90760869565217,1.9242792860618816,1,0.7614678899082569,0.08256880733944955
1150929013,1,925,6.829793737512425,87.60928961748634,2.9618954736678504,0,0.9891891891891892,0
1150929017,1,16,2.772588722239781,95.55555555555556,1,0,0.5625,0
1150929025,1,1,0,NaN,0,0,0,0
1150929043,1,18,2.8903717578961645,83.83333333333333,1.1760912590556813,0.3010299956639812,0.7777777777777778,0.05555555555555555
1150929045,1,67,4.204692619390966,90,1.8325089127062364,0,1,0
1150929061,1,5,1.6094379124341003,84.375,0.6989700043360189,0,0.8,0
1150929063,1,1155,7.051855622955894,73.53846153846153,3.0538464268522527,0,0.9792207792207792,0
1150929067,1,1,0,NaN,0,0,0,0
1150929069,1,60,4.0943445622221,85.63725490196079,1.6989700043360187,0.47712125471966244,0.8166666666666667,0.03333333333333333
1150929071,1,19,2.9444389791664403,70.95,0.9030899869919435,0.6020599913279624,0.3684210526315789,0.15789473684210525
1150929073,1,7,1.9459101490553132,74.8,0.6020599913279624,0.47712125471966244,0.42857142857142855,0.2857142857142857
1150929075,1,3,1.0986122886681098,90,0.47712125471966244,0,0.6666666666666666,0
1150929089,1,39,3.6635616461296463,97.03125,1.5185139398778875,0,0.8205128205128205,0
1150929097,1,10,2.302585092994046,93.57142857142857,0.9030899869919435,0,0.7,0
1150929107,1,3,1.0986122886681098,90.83333333333333,0.6020599913279624,0,1,0
1150929113,1,20,2.995732273553991,83.5,1.2041199826559248,0,0.75,0
1150929127,1,37,3.6109179126442243,89.28571428571429,0.9030899869919435,0,0.1891891891891892,0
1150929129,1,653,6.481577129276431,83.6875,0.9542425094393249,0,0.01225114854517611,0
1150929135,1,4,1.3862943611198906,NaN,0,0,0,0
1150929145,1,17,2.833213344056216,90,1.2304489213782739,0,0.9411764705882353,0
1150929153,1,24,3.1780538303479458,93.3125,1.3979400086720377,0,1,0
1150929155,1,94,4.543294782270004,94.74358974358974,1.6020599913279623,0,0.4148936170212766,0
1150929165,1,40,3.6888794541139363,87.8,1.1760912590556813,0.3010299956639812,0.35,0.025
1150929173,1,3,1.0986122886681098,92.5,0.6020599913279624,0,1,0
1150929175,1,40,3.6888794541139363,89.10810810810811,1.5797835966168101,0,0.925,0
1150929179,1,34,3.5263605246161616,90.64516129032258,1.505149978319906,0,0.9117647058823529,0
1150929189,1,21,3.044522437723423,91.09375,1.2304489213782739,0,0.7619047619047619,0
1150929195,1,2,0.6931471805599453,87.5,0.3010299956639812,0,0.5,0
1150929199,1,2,0.6931471805599453,93.75,0.47712125471966244,0,1,0
1150929215,1,1,0,100,0.3010299956639812,0,1,0
1150929223,1,24,3.1780538303479458,81.15384615384616,1.146128035678238,0,0.5416666666666666,0
1150929237,1,160,5.075173815233827,96.53846153846153,2.1958996524092336,0,0.975,0
1150929239,1,1,0,90,0.3010299956639812,0,1,0
1150929241,1,3,1.0986122886681098,79.16666666666667,0.47712125471966244,0.3010299956639812,0.6666666666666666,0.3333333333333333
1150929249,1,111,4.709530201312334,87.07070707070707,2,0,0.8918918918918919,0
1150929251,1,198,5.288267030694535,86.19414893617021,2.27415784926368,0.3010299956639812,0.9444444444444444,0.005050505050505051
1150929263,1,12,2.4849066497880004,90,0.9542425094393249,0,0.6666666666666666,0
1150929271,1,4,1.3862943611198906,90,0.6020599913279624,0,0.75,0
1150929273,1,1,0,90,0.3010299956639812,0,1,0
1150929277,1,3,1.0986122886681098,78.33333333333333,0.6020599913279624,0,1,0
1150929297,1,2,0.6931471805599453,68.75,0.3010299956639812,0.3010299956639812,0.5,0.5
1150929311,1,379,5.937536205082426,88.9661921708185,2.4456042032735974,0.6020599913279624,0.7335092348284961,0.0079155672823219
1150929313,1,54,3.9889840465642745,93.20652173913044,1.6720978579357175,0,0.8518518518518519,0
1150929317,1,39,3.6635616461296463,96.66666666666667,1.1139433523068367,0,0.3076923076923077,0
1150929319,1,10,2.302585092994046,87.5,1.0413926851582251,0,1,0
1150929321,1,7,1.9459101490553132,87.5,0.6020599913279624,0,0.42857142857142855,0
1150929337,1,29,3.367295829986474,93.88888888888889,1,0,0.3103448275862069,0
1150929345,1,2,0.6931471805599453,90,0.47712125471966244,0,1,0
1150929355,1,17,2.833213344056216,77.65,1,0.3010299956639812,0.5294117647058824,0.058823529411764705
1150929359,1,65,4.174387269895637,90.86363636363636,1.0791812460476249,0,0.16923076923076924,0
1150929361,1,1,0,NaN,0,0,0,0
1150929369,1,9,2.1972245773362196,94.58333333333333,0.8450980400142568,0,0.6666666666666666,0
1150929371,1,3,1.0986122886681098,90,0.47712125471966244,0,0.6666666666666666,0
1150929373,1,1,0,87.5,0.3010299956639812,0,1,0
1150929375,1,137,4.919980925828125,90.21804511278195,2.1271047983648077,0,0.9708029197080292,0
1150929377,1,34,3.5263605246161616,93.05555555555556,1.4471580313422192,0,0.7941176470588235,0
1150929381,1,1,0,100,0.3010299956639812,0,1,0
1150929389,1,10,2.302585092994046,95,0.6989700043360189,0,0.4,0
1150929403,1,1,0,90,0.3010299956639812,0,1,0
1150929411,1,44,3.784189633918261,65.66,1.2787536009528289,0.9030899869919435,0.4090909090909091,0.1590909090909091
1150929413,1,20,2.995732273553991,89.03846153846153,1.146128035678238,0,0.65,0
1150929415,1,31,3.4339872044851463,90.24074074074075,1.414973347970818,0.47712125471966244,0.8064516129032258,0.06451612903225806
1150929417,1,15,2.70805020110221,92.77777777777777,1,0,0.6,0
1150929419,1,52,3.9512437185814275,83.74468085106383,1.6532125137753437,0.6020599913279624,0.8461538461538461,0.057692307692307696
1150929425,1,7,1.9459101490553132,87.9,0.7781512503836436,0,0.7142857142857143,0
1150929431,1,19,2.9444389791664403,88.4375,1.2304489213782739,0,0.8421052631578947,0
1150929439,1,24,3.1780538303479458,84.3,1.146128035678238,0.47712125471966244,0.5416666666666666,0.08333333333333333
1150929445,1,4,1.3862943611198906,75.375,0.6989700043360189,0,1,0
1150929451,1,17,2.833213344056216,97.91666666666667,0.8450980400142568,0,0.35294117647058826,0
1150929455,1,63,4.143134726391533,89.51724137931035,1.7634279935629373,0.3010299956639812,0.9047619047619048,0.015873015873015872
1150929463,1,1,0,85,0.3010299956639812,0,1,0
1150929469,1,44,3.784189633918261,56.57142857142857,0.6020599913279624,0.6989700043360189,0.06818181818181818,0.09090909090909091
1150929473,1,5,1.6094379124341003,NaN,0,0,0,0
1150929485,1,44,3.784189633918261,77.97058823529412,1.3617278360175928,1.1139433523068367,0.5,0.2727272727272727
1150929487,1,917,6.821107472256465,92.11165845648604,2.7831886910752575,0.6020599913279624,0.6608505997818975,0.003271537622682661
1150929493,1,83,4.418840607796598,87.85,1.591064607026499,0.47712125471966244,0.4578313253012048,0.024096385542168676
1150929509,1,55,4.007333185232471,93.51020408163265,1.6989700043360187,0,0.8909090909090909,0
1150929515,1,115,4.74493212836325,91.62068965517241,1.7708520116421442,0,0.5043478260869565,0
1150929525,1,54,3.9889840465642745,82.09433962264151,1.7075701760979363,0.6020599913279624,0.9259259259259259,0.05555555555555555
1150929531,1,7,1.9459101490553132,46,0,0.7781512503836436,0,0.7142857142857143
1150929537,1,46,3.828641396489095,89.64285714285714,1.6334684555795864,0,0.9130434782608695,0
1150929541,1,25,3.2188758248682006,95,0.3010299956639812,0,0.04,0
1150929559,1,5,1.6094379124341003,66.6,0.47712125471966244,0.6020599913279624,0.4,0.6
1150929577,1,8,2.0794415416798357,93.21428571428571,0.9030899869919435,0,0.875,0
1150929619,1,49,3.8918202981106265,83.48571428571428,1.5314789170422551,0.47712125471966244,0.673469387755102,0.04081632653061224
1150929651,1,6,1.791759469228055,87.5,0.47712125471966244,0,0.3333333333333333,0
1150929653,1,8,2.0794415416798357,92.85714285714286,0.9030899869919435,0,0.875,0
1150929657,1,3,1.0986122886681098,80,0.6020599913279624,0,1,0
1150929665,1,159,5.0689042022202315,91.05978260869566,1.968482948553935,0,0.5786163522012578,0
1150929681,1,8,2.0794415416798357,92.5,0.9030899869919435,0,0.875,0
1150929685,1,7,1.9459101490553132,92.14285714285714,0.9030899869919435,0,1,0
1150929689,1,46,3.828641396489095,63.72727272727273,1.6020599913279623,0.7781512503836436,0.8478260869565217,0.10869565217391304
1150929731,1,1,0,100,0.3010299956639812,0,1,0
1150929733,1,24,3.1780538303479458,96.9090909090909,1.3617278360175928,0,0.9166666666666666,0
1150929735,1,33,3.4965075614664802,89.91379310344827,1.462397997898956,0.3010299956639812,0.8484848484848485,0.030303030303030304
1150929745,1,4,1.3862943611198906,90,0.6989700043360189,0,1,0
1150929751,1,1,0,100,0.3010299956639812,0,1,0
1150929757,1,39,3.6635616461296463,97.5,0.9030899869919435,0,0.1794871794871795,0
1150929763,1,21,3.044522437723423,93.92857142857143,1.1760912590556813,0,0.6666666666666666,0
1150929769,1,6,1.791759469228055,94,0.7781512503836436,0,0.8333333333333334,0
1150929775,1,5,1.6094379124341003,90,0.7781512503836436,0,1,0
1150929779,1,2,0.6931471805599453,7.5,0,0.3010299956639812,0,0.5
1150929781,1,7,1.9459101490553132,62.916666666666664,0.6989700043360189,0.47712125471966244,0.5714285714285714,0.2857142857142857
1150929785,1,108,4.68213122712422,93.33333333333333,0.8450980400142568,0,0.05555555555555555,0
1150929799,1,3,1.0986122886681098,NaN,0,0,0,0
1150929837,1,15,2.70805020110221,93.63636363636364,1.0791812460476249,0,0.7333333333333333,0
1151615859,1,167,5.117993812416755,100,0.47712125471966244,0,0.011976047904191617,0
1151615863,1,307,5.726847747587197,95.3265306122449,2.462397997898956,0.7781512503836436,0.9413680781758957,0.016286644951140065
1151615867,1,9,2.1972245773362196,95.83333333333333,0.6020599913279624,0,0.3333333333333333,0
1151615873,1,90,4.499809670330265,91.41891891891892,1.5797835966168101,0,0.4111111111111111,0
1151615875,1,32,3.4657359027997265,88.75,0.6989700043360189,0,0.125,0
1151615881,1,20,2.995732273553991,80.9,0.7781512503836436,0,0.25,0
1151615897,1,57,4.04305126783455,84.99056603773585,1.6989700043360187,0.6989700043360189,0.8596491228070176,0.07017543859649122
1151615901,1,3,1.0986122886681098,90,0.6020599913279624,0,1,0
1151615903,1,29,3.367295829986474,83,1,0.3010299956639812,0.3103448275862069,0.034482758620689655
1151615917,1,73,4.290459441148391,64.921875,1.6232492903979006,1.380211241711606,0.5616438356164384,0.3150684931506849
1151615921,1,1,0,95,0.3010299956639812,0,1,0
1151615933,1,56,4.02535169073515,84.31818181818181,1.0791812460476249,0,0.19642857142857142,0
1151615939,1,4,1.3862943611198906,91.25,0.47712125471966244,0,0.5,0
1151615947,1,110,4.700480365792417,82.17415730337079,1.919078092376074,0.9030899869919435,0.7454545454545455,0.06363636363636363
1151615949,1,317,5.75890177387728,89.87323943661971,2.4533183400470375,0.3010299956639812,0.8927444794952681,0.0031545741324921135
1151615951,1,434,6.073044534100405,84.26430517711172,2.5658478186735176,0,0.8456221198156681,0
1151615955,1,2,0.6931471805599453,77.5,0.3010299956639812,0,0.5,0
1151615977,1,1,0,90,0.3010299956639812,0,1,0
1151615985,1,5,1.6094379124341003,99,0.7781512503836436,0,1,0
1151615993,1,159,5.0689042022202315,77.73214285714286,1.8920946026904804,0.9030899869919435,0.48427672955974843,0.0440251572327044
1151615997,1,14,2.6390573296152584,79.26923076923077,1.1139433523068367,0.3010299956639812,0.8571428571428571,0.07142857142857142
1151616009,1,4,1.3862943611198906,91.25,0.47712125471966244,0,0.5,0
1151616011,1,24,3.1780538303479458,86.27272727272727,1.3617278360175928,0,0.9166666666666666,0
1151616019,1,6,1.791759469228055,91.66666666666667,0.8450980400142568,0,1,0
1151616023,1,44,3.784189633918261,93.59375,1.5185139398778875,0,0.7272727272727273,0
1151616025,1,55,4.007333185232471,89.94791666666667,1.6901960800285136,0,0.8727272727272727,0
1151616045,1,2,0.6931471805599453,87.5,0.3010299956639812,0,0.5,0
1151616061,1,18,2.8903717578961645,94.8529411764706,1.255272505103306,0,0.9444444444444444,0
1151616063,1,7,1.9459101490553132,87.5,0.7781512503836436,0,0.7142857142857143,0
1151616065,1,19,2.9444389791664403,87,0.7781512503836436,0.3010299956639812,0.2631578947368421,0.05263157894736842
1151616073,1,5,1.6094379124341003,91.66666666666667,0.6020599913279624,0,0.6,0
1151616083,1,3,1.0986122886681098,87.5,0.3010299956639812,0,0.3333333333333333,0
1151616091,1,33,3.4965075614664802,90,1.414973347970818,0,0.7575757575757576,0
1151616099,1,211,5.351858133476067,89.6608040201005,2.3010299956639813,0,0.943127962085308,0
1151616105,1,3,1.0986122886681098,94.16666666666667,0.6020599913279624,0,1,0
1151616107,1,7,1.9459101490553132,99.16666666666667,0.8450980400142568,0,0.8571428571428571,0
1151616111,1,42,3.7376696182833684,68.34782608695652,1.255272505103306,0.8450980400142568,0.40476190476190477,0.14285714285714285
