user_id,compliance_check,timestamp
v1qFgHfq1qVCY6,0,1591528088712
v1qFgHfq1qVCY6,0,1593148407886
v1qlD0tq7KvQR6,1,1591458067279
v1qlD0tq7KvQR6,0,1593231924127
v1qlD0tq7KvQR6,1,1593682565118
v1qtCLWqJ356y6,1,1591371099549
v1qtCLWqJ356y6,1,1593130354870
v1sfzsSqRZV6w6,0,1591295414982
v1sfzsSqRZV6w6,0,1591295550721
v1sfzsSqRZV6w6,0,1591815461323
v1sfzsSqRZV6w6,0,1591815531845
v1sfzsSqRZV6w6,1,1591815617694
v1sws64qq6wy66,0,1591626804165
v1t7Vz3q9rL7P6,0,1591657767067
v1t7Vz3q9rL7P6,0,1593150292312
v1v0rKBqHrP8y6,0,1591763294860
v1v0rKBqHrP8y6,0,1591763513812
v1v2RzFq067qd6,1,1591330779476
v1v2RzFq067qd6,1,1593278206273
v1v7mvtq333BM6,0,1592094114980
v1x704DqJD07D6,1,1591362140855
v1x704DqJD07D6,1,1593122897033
v1yYkCKqZK1GD6,1,1592238905531
v1ytNFlqFZqbh6,0,1591387602279
v1ytNFlqFZqbh6,1,1591399759217
v1ytNFlqFZqbh6,1,1593388251232
v1yvkC5qXxSYF6,0,1591394261877
v1yvkC5qXxSYF6,1,1591394324197
v1yvkC5qXxSYF6,1,1593124657422
v1zWMJBqkHWz26,1,1591469560633
v1zWMJBqkHWz26,1,1593148475886
v20yqv8rSLdxR7,0,1591359717073
v20yqv8rSLdxR7,0,1593134592530
v2154z6r1mWM97,1,1591324896504
v2154z6r1mWM97,1,1593126974549
v24KQH8rPCYYd7,0,1591399039286
v24dNx8rDtf7B7,0,1591321371708
