caseid,totalnewsbinary,totalnewscount,totalnewsduration,log_news,totalvisits,log_total,total_news_score_duration,Average_domain_NewsG_Score_post,Count_Reliable_NewsG_Score_post,Count_Unreliable_NewsG_Score_post,Prop_Reliable_NewsG_Score_post,Prop_Unreliable_NewsG_Score_post,partisanship_news_diet_post,Prop_Reliable_NewsG_Score_post_dur,Prop_Unreliable_NewsG_Score_post_dur,Count_Unreliable_NewsG_Score_post_dur,Count_Reliable_NewsG_Score_post_dur,Average_domain_NewsG_Score_post_dur
1150929071,1,140,2012,4.941642422609304,4112,8.321664807135,839,61.861111111111114,1.568201724066995,1.568201724066995,0.2571428571428571,0.2571428571428571,1.4957067742478174,0.14860834990059643,0.268389662027833,540,299,54.61144219308701
1150929073,1,81,3336,4.394449154672439,2772,7.927324360309794,3336,89.8395061728395,1.8808135922807914,0.8450980400142568,0.9259259259259259,0.07407407407407407,-0.5261479709502863,0.9142685851318945,0.08573141486810551,286,3050,91.45893285371703
1150929075,1,3,262,1.0986122886681098,759,6.63200177739563,262,85.83333333333333,0.6020599913279624,0,1,0,-0.273270297198875,1,0,0,262,86.08778625954199
1150929089,1,91,4904,4.51085950651685,960,6.866933284461882,4025,90.98591549295774,1.8573324964312685,0,0.7802197802197802,0,-0.3497345381792156,0.8207585644371941,0,0,4025,89.12857142857143
1150929097,1,588,31103,6.376726947898627,6299,8.74814616962193,30901,85.99568221070811,2.7634279935629373,0,0.9846938775510204,0,-0.9926838509275645,0.9935054496350835,0,0,30901,87.4329471538138
1150929105,0,0,0,-Inf,15,2.70805020110221,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN
1150929113,1,167,3429,5.117993812416755,4104,8.319717386850606,838,89.59923664122137,2.12057393120585,0,0.7844311377245509,0,-0.00915148676088343,0.24438611840186644,0,0,838,88.3054892601432
1150929127,1,136,2207,4.912654885736052,4518,8.415824697027949,700,88.23239436619718,1.8573324964312685,0,0.5220588235294118,0,-0.720045061591397,0.31717263253285,0,0,700,85.51357142857142
1150929129,1,25,207,3.2188758248682006,4974,8.51197962436335,0,NaN,0,0,0,0,NaN,0,0,0,0,NaN
1150929135,1,289,4280,5.666426688112432,2455,7.805882040228621,71,86.25,0.6989700043360189,0,0.01384083044982699,0,-0.484146477513916,0.016588785046728973,0,0,71,79.2605633802817
1150929145,1,103,1630,4.634728988229636,3811,8.24564690087386,1546,88.73456790123457,1.9138138523837167,0,0.7864077669902912,0,NaN,0.9484662576687116,0,0,1546,88.6254851228978
1150929153,1,594,27802,6.386879319362645,4807,8.47782846789396,25587,96.74137931034483,2.7168377232995247,0.47712125471966244,0.8754208754208754,0.003367003367003367,-0.4655669982358983,0.9194302568160564,8.992158837493705e-4,25,25562,97.15754093875796
1150929155,1,19,1002,2.9444389791664403,8224,9.014811987694946,772,88.23529411764706,1.255272505103306,0,0.8947368421052632,0,NaN,0.7704590818363274,0,0,772,90.31411917098445
1150929161,1,17,15447,2.833213344056216,622,6.432940092739179,15447,87.6470588235294,1.255272505103306,0,1,0,NaN,1,0,0,15447,87.52718974558167
