caseid,totalnewsbinary,totalnewscount,totalnewsduration,log_news,totalvisits,log_total,total_news_score_duration,Average_domain_NewsG_Score_dv,Count_Reliable_NewsG_Score_dv,Count_Unreliable_NewsG_Score_dv,Prop_Reliable_NewsG_Score_dv,Prop_Unreliable_NewsG_Score_dv,partisanship_news_diet_dv,Prop_Reliable_NewsG_Score_dv_dur,Prop_Unreliable_NewsG_Score_dv_dur,Count_Unreliable_NewsG_Score_dv_dur,Count_Reliable_NewsG_Score_dv_dur,Average_domain_NewsG_Score_dv_dur
1149914067,1,30570,945607,10.32777441488488,71170,11.172826660293318,863417,87.05674317306081,4.474857031317561,0.47712125471966244,0.9762185148838731,6.542361792607131e-5,-1.1123149353707722,0.9130336387103734,4.864600198602591e-5,46,863371,87.30863939440619
1150928257,1,346,18488,5.846438775057725,1441,7.273092595999522,18419,90.46511627906976,2.537819095073274,0,0.9942196531791907,0,-0.853698288776755,0.9962678494158373,0,0,18419,90.06623595200608
1150928263,1,7,158,1.9459101490553132,520,6.253828811575473,141,94,0.7781512503836436,0,0.7142857142857143,0,-0.6059291627325035,0.8924050632911392,0,0,141,96.24113475177305
1150928265,1,94,29386,4.543294782270004,2097,7.64826303090192,28766,84.43604651162791,1.8976270912904414,0.9542425094393249,0.8297872340425532,0.0851063829787234,-1.0122840745639823,0.8618049411284285,0.11709657660110256,3441,25325,83.57686157268998
1150928269,1,148,6996,4.997212273764115,1873,7.5352967024440884,5796,95.8089430894309,2.089905111439398,0.3010299956639812,0.8243243243243243,0.006756756756756757,-0.2730687504064257,0.8188965122927387,0.009576901086335049,67,5729,93.19772256728778
1150928277,1,865,36489,6.762729506931879,6628,8.799058378546453,34678,83.77217496962334,2.870403905279027,1.919078092376074,0.8566473988439306,0.09479768786127167,-0.19208240048242986,0.9048480363945298,0.045520567842363455,1661,33017,87.78668031605052
1150928279,1,193,10620,5.262690188904886,4064,8.309922989258318,8145,78.99333333333334,2.161368002234975,0.8450980400142568,0.7461139896373057,0.031088082901554404,1.277129141976701,0.7225988700564971,0.044350282485875706,471,7674,79.01295273173726
1150928283,1,33,1717,3.4965075614664802,670,6.507277712385012,1715,92.96875,1.5185139398778875,0,0.9696969696969697,0,-0.38784545559025124,0.9988351776354106,0,0,1715,92.77842565597668
1150928287,1,74,4814,4.30406509320417,427,6.056784013228625,411,92.5,1.0413926851582251,0,0.13513513513513514,0,-0.5644152075825866,0.08537598670544246,0,0,411,93.97810218978103
1150928291,1,228,7859,5.429345628954441,2190,7.691656822810547,1742,93.85135135135135,1.5797835966168101,0,0.16228070175438597,0,-0.2150096731279012,0.22165669932561394,0,0,1742,96.00889781859931
1150928297,1,71,543,4.2626798770413155,2526,7.8343923029104365,516,85.3015873015873,1.7558748556724915,0.9030899869919435,0.7887323943661971,0.09859154929577464,0.21058420166561495,0.9263351749539595,0.02394106813996317,13,503,87.20930232558139
